epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2259,1.67678,3.19082,1.88882,0.67685,0.16168,0.1866,0.08148,2.051,2.80394,2.2241,0.000368509,0.000368509,0.000368509
2,142.327,1.71252,2.68475,1.89425,0.3887,0.14987,0.12923,0.05547,2.06878,2.65028,2.26608,0.000724213,0.000724213,0.000724213
3,212.792,1.72873,2.51161,1.92577,0.36863,0.07821,0.09772,0.04695,2.17752,3.07852,2.5375,0.00106525,0.00106525,0.00106525
4,280.561,1.72019,2.43763,1.93182,0.37818,0.15955,0.14371,0.06303,2.09632,2.75404,2.39428,0.00104501,0.00104501,0.00104501
5,349.783,1.70308,2.30116,1.89436,0.46603,0.21035,0.20897,0.09212,1.99072,2.49818,2.20491,0.00102301,0.00102301,0.00102301
6,418.638,1.65039,2.18962,1.83354,0.5574,0.28148,0.2824,0.11586,2.0548,2.22561,2.26613,0.00100101,0.00100101,0.00100101
7,488.437,1.5985,2.07929,1.78736,0.15133,0.18673,0.19937,0.1002,1.93594,2.29346,2.15206,0.000979013,0.000979013,0.000979013
8,555.741,1.56309,2.00777,1.77324,0.48131,0.18324,0.24686,0.11971,2.12794,2.59147,2.42607,0.000957015,0.000957015,0.000957015
9,623.979,1.54583,1.95078,1.74857,0.33612,0.2628,0.28586,0.15296,1.84213,2.07266,2.00031,0.000935018,0.000935018,0.000935018
10,692.234,1.51277,1.90828,1.72919,0.52855,0.24929,0.28936,0.14268,1.89905,2.21741,2.09966,0.00091302,0.00091302,0.00091302
11,762.697,1.51172,1.85337,1.72571,0.56724,0.27513,0.28941,0.16401,1.84716,2.11462,2.06815,0.000891022,0.000891022,0.000891022
12,831.105,1.46051,1.76804,1.67216,0.41766,0.28401,0.26546,0.12971,1.86703,2.15514,2.07127,0.000869024,0.000869024,0.000869024
13,900.939,1.46811,1.75205,1.67941,0.55943,0.30203,0.30149,0.15948,1.83953,1.92749,2.01624,0.000847026,0.000847026,0.000847026
14,968.254,1.43889,1.71869,1.66161,0.60048,0.29285,0.36053,0.18499,1.83473,1.89576,2.05254,0.000825029,0.000825029,0.000825029
15,1036.55,1.43577,1.66704,1.64821,0.47315,0.36642,0.35405,0.1674,1.86481,1.80055,2.01354,0.000803031,0.000803031,0.000803031
16,1107.29,1.41966,1.63564,1.6217,0.64603,0.28495,0.33471,0.19916,1.77816,2.05226,1.99518,0.000781033,0.000781033,0.000781033
17,1179.16,1.40948,1.62041,1.62049,0.70188,0.39415,0.39729,0.22835,1.75157,1.8557,1.95915,0.000759035,0.000759035,0.000759035
18,1249.38,1.38,1.53403,1.59603,0.61279,0.30268,0.37685,0.2126,1.78648,1.86377,1.99475,0.000737037,0.000737037,0.000737037
19,1318.18,1.34015,1.49251,1.58342,0.59362,0.42717,0.37591,0.22224,1.78018,1.74433,1.99965,0.00071504,0.00071504,0.00071504
20,1388.8,1.36026,1.48056,1.58253,0.6561,0.39306,0.39963,0.22259,1.83698,1.75617,2.01104,0.000693042,0.000693042,0.000693042
21,1462.01,1.35252,1.46075,1.56951,0.66298,0.32736,0.3873,0.22847,1.77863,1.7207,1.95303,0.000671044,0.000671044,0.000671044
22,1532.96,1.32594,1.43479,1.56347,0.63059,0.34238,0.37347,0.21791,1.74404,1.78513,1.92077,0.000649046,0.000649046,0.000649046
23,1598.08,1.31816,1.38833,1.53535,0.73365,0.41135,0.43502,0.25093,1.75861,1.62142,1.95394,0.000627048,0.000627048,0.000627048
24,1666.66,1.29187,1.37093,1.52779,0.65537,0.32666,0.4729,0.25513,1.77258,1.64267,1.97576,0.000605051,0.000605051,0.000605051
25,1736.39,1.27791,1.32589,1.5163,0.60049,0.33479,0.3625,0.21256,1.80272,1.84078,2.05647,0.000583053,0.000583053,0.000583053
26,1808.19,1.27584,1.31308,1.50002,0.66109,0.35742,0.5801,0.28796,1.7423,1.7008,1.9518,0.000561055,0.000561055,0.000561055
27,1874.5,1.25064,1.27929,1.49176,0.67635,0.33502,0.42121,0.23514,1.77493,1.64831,1.9964,0.000539057,0.000539057,0.000539057
28,1946.24,1.2388,1.24285,1.48314,0.62283,0.35536,0.44518,0.26316,1.80634,1.69765,1.99939,0.000517059,0.000517059,0.000517059
29,2013.95,1.22655,1.24091,1.47267,0.68158,0.34072,0.58291,0.26354,1.79056,1.61344,1.97888,0.000495062,0.000495062,0.000495062
30,2083.23,1.19176,1.20708,1.45201,0.64422,0.34665,0.45999,0.26398,1.70723,1.61743,1.90444,0.000473064,0.000473064,0.000473064
31,2148.39,1.20447,1.1897,1.45887,0.64695,0.36863,0.46346,0.25674,1.79913,1.5629,1.98514,0.000451066,0.000451066,0.000451066
32,2215.25,1.19514,1.18001,1.43862,0.68811,0.36523,0.45847,0.25177,1.75701,1.53497,1.94957,0.000429068,0.000429068,0.000429068
